Name,Station or Publication,Date Used,Year,Month,Location,Program?,Program Content,Source,RTC,Graphic Used,Logged By,RT,TW,FB,Other Social Media,Online Article,How was it found first?,MW,On Air,Time of Airing,On Air,Time of Airings,How was TV Found?,IQ Graphic Notes,Audience Size,Publicity Value,Connects to Climate Change on Air?,Total CC Hits,Total CM Hits,Total CMN Hits,Spanish?,Download?,Comments,Link to online content,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Epstein,KTXL/FOX,9/23/20,2020,September,CA,CM,2020HurricanesII,CM,,2020Hurricanes_US,Kristie,1,0,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1308805354227195904/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J. Fox,KSEE/NBC,,2020,September,CA,CM,WeatherPower,CM,,WeatherPower_solar,Lisa,0,0,22,0,22,,,0,,88,,,,,,,132,132,0,,,"Transcript was different this month and wasn't able to search ""solar forecast"". Estimated four TV airings a day, five days a week.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al Roker,NBC/NBC,9/8/20,2020,September,NY,CM,"2020FallPackage, 2019GrowingSeason",CM,,"2020FallPackage_Map, 2019GrowingSeason",Lisa,0,0,0,0,0,,,0,,1,7:49 AM,Email,Zero,377192,5561,Y,1,1,0,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Auglis,Spectrum News Louisville,9/16/20,2020,September,KY,CM,2020Records,CM,,2020Records_Map.gif,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1306274828580794369/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Hope,The Brussels Times,9/3/20,2020,September,Belgium,,,SLR,,SLR_ss3,Kelly,0,0,0,0,1,Email,,0,,0,,,,,,,0,0,0,,,,https://www.brusselstimes.com/news/belgium-all-news/129694/rising-sea-levels-could-lead-to-flooding-as-far-inland-as-ghent/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Sealls,WPMI/NBC,9/24/20,2020,September,AL,CM,2020HurricanesII,CM,,2020Hurricanes_US,Kelly,0,0,1,0,0,Tag,,0,,2,"5:19pm, 10:19pm",IQ,Found,65037,1025,,3,3,0,,,,https://www.facebook.com/Alan.Sealls.Weather/photos/a.202953479716812/3818798618132262/?type=3&av=57984115023&eav=AfZsCAmKYsK8VTn2UHyemsL3KJRDXT73e9AsUKVw8v5R42IvshDZK8fvebXZ3DYLYPY&__xts__%5B0%5D=68.ARAlMLMMe_izg_ZPrb0LrWShAuQahb_qfHgUM9SxUrLeNxyIXRargkmabXOvTWaSg8alJODKAtK2rGAf4mVr7RV3Wkb8ZlzceWYRuCFvXF954IGnAsfF2VbC5OgoWLAJCvLKeHU_424g95KaxI7qh4zUSX7qDTArPo-_2in6lS7Rh4F2PvFK-UHI4heJXWCrvYlLdl4Jyifg73SxXlLEtIe9ETKcXHNIUZX_TJ0_-h3nS7DEnyH6G8wXQ2T1TlTTk52IYUfpFs-WyXyQMORmu6ZYHwkCSqAY1oM10To__GVt0cPZGYze0uozEMBwNvSiO1Ko&__tn__=-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alana Nehring,WZZM/ABC,9/9/20,2020,September,MI,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1303723301039206403/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Zuch,Spectrum News Central New York,9/3/20,2020,September,NY,,2020FallPackage,CM,,2020FallPackage_AvgT,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/AlecZuch/status/1301622793960853505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rev. Alexander Santora,NJ.com,9/27/20,2020,September,,,Way Worse,SLR,,,Lisa,0,0,0,0,1,Google Alert,,0,,0,,,,,,,0,0,0,,,,https://www.nj.com/opinion/2020/09/we-are-all-called-to-protect-the-earth-faith-matters.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Orengo,KXTX/Telemundo,9/12/20,2020,September,TX,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,"Lisa, Kelly",0,1,1,0,0,,,0,,1,5:15 PM,IQ,Found,27637,1003,,3,3,0,,,,https://twitter.com/aorengo/status/1304918978163363841,https://www.facebook.com/alexisorengoayala/photos/a.445125892309151/1691746910980370/?__cft__[0]=AZU-MdaZjHb0wmOWZxWGMtajXGZCtZxmMe8JxvGxUB8BQ73fklkv8gb7vmB670fyx3j2jAb8i7f5Qm5LLQCzoy4to4GNkYnDh8P2PJ49xunLSKjTDmGRpshBblXfbuM7weTAfn22ME9F1tAmjZ2f0jmvNNplSLxR_zxW6TvNiMpO48FZf2wtq6uDQErn_eiAkchDhGqEfQwnGg2xkwZxrzQW&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisa Reznick and Nick O'Gara,KUAZ/NPR,9/3/20,2020,September,AZ,,"2020DaysAbove, 2020SummerPackage",CM,,"2020DaysAbove, 2020SummerPackage_AvgT",Kristie,0,0,0,0,2,Meltwater,MW,0,,0,,,,,,,2,2,0,,,,https://www.azpm.org/p/home-articles-news/2020/9/3/179724-feels-like-the-end-of-the-world-tucson-grapples-with-record-heat-during-pandemic/,https://www.newsbreak.com/arizona/tucson/news/2054084538103/feels-like-the-end-of-the-world-tucson-grapples-with-record-heat-during-pandemic,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Gargaro,WOGX/FOX,9/24/20,2020,September,FL,CMN,Rapid Response Workshop: Hurricane Season - Impacts,CMN,,,Lisa,0,0,0,0,0,,,0,,4,"5:46pm, 10:51pm on 24th; 7:45am, 8:41am on 26th",IQ,Zero,9924,368,,4,4,4,,,"Covered Hurricanes workshop, interviewing Sean and other experts from the webinar. Saved on IQ under 'Climate Central'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Gargaro,WOFL/FOX,9/24/20,2020,September,FL,CMN,Rapid Response Workshop: Hurricane Season - Impacts,CMN,,,Lisa,0,0,0,0,0,,,0,,5,"5:46pm, 10:51pm on 24th; 1:26am on 25th; 7:45am, 8:41am on 26th",IQ,Zero,147737,5072,,5,5,5,,,"Covered Hurricanes workshop, interviewing Sean and other experts from the webinar. Saved on IQ under 'Climate Central'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Alexander,WHO/NBC,9/3/20,2020,September,IA,CM,,CC,,,Kristie,0,1,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/AmberAwx/status/1301719026134126592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Alexander,WHO/NBC,9/15/20,2020,September,IA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/BernadetteWoods/status/1305956862395809792/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Alexander,WHO/NBC,9/21/20,2020,September,IA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1308126616342671360/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Sullins,KNXV/ABC,9/20/20,2020,September,AZ,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove",Lisa,0,0,0,0,0,,,0,,3,"4:48pm, 8:49pm, 10:45pm",IQ,Found,218840,8981,Y,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
