region,state
Alaska,AK
Southeast,AL
Southeast,AR
Southwest,AZ
Southwest,CA
Southwest,CO
Northeast,CT
Northeast,DE
Southeast,FL
Southeast,GA
Hawaii,HI
Midwest,IA
Northwest,ID
Midwest,IL
Midwest,IN
Great Plains,KS
Southeast,KY
Southeast,LA
Northeast,MA
Northeast,MD
Northeast,ME
Midwest,MI
Midwest,MN
Midwest,MO
Southeast,MS
Great Plains,MT
Southeast,NC
Great Plains,ND
Great Plains,NE
Northeast,NH
Northeast,NJ
Southwest,NM
Southwest,NV
Northeast,NY
Midwest,OH
Great Plains,OK
Northwest,OR
Northeast,PA
Southeast,SC
Great Plains,SD
Southeast,TN
Great Plains,TX
Southwest,UT
Southeast,VA
Northeast,VT
Northwest,WA
Midwest,Wi
Northeast,WV
Great Plains,WY
Northeast,RI
Northeast,DC
