,date,title,graphic,distribution,type
1,9/16/2020,2020Records,2020Records,local/state,chart
2,9/16/2020,2020Records,2020Records_Map,national,map
3,9/16/2020,2020Records,2020Records_Map.gif,national,gif
4,9/9/2020,2020WesternWildfires,2020Wildfire,local/state,chart
5,9/9/2020,2020WesternWildfires,2020Wildfire_TotalAcresBurned,national,chart
6,9/2/2020,2020FallPackage,2020FallPackage_AvgT,local/state,chart
7,9/2/2020,2020FallPackage,2020FallPackage_DaysAbove,local/state,chart
8,9/2/2020,2020FallPackage,2020FallPackage_Map,national,map
9,8/26/2020,2020OHW,2020OHW_Info,n/a,explainer
10,8/26/2020,2020OHW,2020OHW_Map,global,map
11,8/26/2020,2020OHW,2020OHW_Temp,global,chart
12,8/19/2020,2020HeatStreaks,2020HeatStreaks,local/state,chart
13,8/12/2020,2020CDD,2020CDD,local/state,chart
14,8/12/2020,2020CDD,2020CDD_FutureUse,national,chart
15,8/5/2020,2020Ticks,2020Ticks_Temps,national,map
16,8/5/2020,2020Ticks,2020Ticks_Lyme,national,chart
17,8/5/2020,2020Ticks,2020Ticks_PoisonIvy,n/a,explainer
18,7/29/2020,2020Mosquitoes,2020Mosquitoes,local/state,other
19,7/29/2020,2020Mosquitoes,2020Mosquitoes_Explainer,n/a,explainer
20,7/22/2020,2020DaysAbove,2020DaysAbove,local/state,chart
21,7/16/2020,2020JulyAugSeptTrend,2020JulyAugSeptTrend_JUL,local/state,chart
22,7/16/2020,2020JulyAugSeptTrend,2020JulyAugSeptTrend_AUG,local/state,chart
23,7/16/2020,2020JulyAugSeptTrend,2020JulyAugSeptTrend_SEPT,local/state,chart
24,7/13/2020,2020GlobalTempCheckup,2020GlobalTempCheckup_HorseRace,global,chart
25,7/13/2020,2020GlobalTempCheckup,2020GlobalTempCheckup_Map,global,map
26,7/8/2020,2020HumidHeatDays,2020HumidHeatDays_Regional,regional,map
27,7/8/2020,2020HumidHeatDays,2020HumidHeatDays_States,local/state,map
28,7/1/2020,20204thOfJuly,20204thOfJuly,local/state,chart
29,6/24/2020,2020HeatAndSeniors,2020HeatAndSeniors,local/state,chart
30,6/24/2020,2020HeatAndSeniors,2020HeatAndSeniors_CONUS,national,map
31,6/17/2020,2020WarmingStripes,2020WarmingStripes,local/state,other
32,6/17/2020,2020WarmingStripes,2020WarmingStripes_50States.gif,national,other
33,6/10/2020,2020SmokeWaves,2020SmokeWaves_Map,regional,map
34,6/10/2020,2020SmokeWaves,2017WildfireAirQuality,n/a,explainer
35,6/1/2020,2020Hurricanes,2020HurricaneSLR_Intensity,global,chart
36,6/1/2020,2020Hurricanes,2017Hurricanes_Info,n/a,explainer
37,6/1/2020,2020Hurricanes,2017Hurricanes_Graph,n/a,explainer
38,5/27/2020,2020SummerPackage,2020SummerPackage_AvgT,local/state,chart
39,5/27/2020,2020SummerPackage,2020SummerPackage_DaysAboveNormal,local/state,chart
40,5/27/2020,2020SummerPackage,2020SummerPackage_MinT,local/state,chart
41,5/27/2020,2020SummerPackage,2020SummerPackage_AvgT_CONUS,national,map
42,5/20/2020,2020FirstDayAbove,2020FirstDayAbove,local/state,chart
43,5/20/2020,2020FirstDayAbove,2020FirstDayAbove_Piechart,n/a,explainer
